
Climate data for Sri Ganganagar (1981–2010, extremes 1937–2012)
Month	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Record high °C (°F)	36.1
(97.0)	35.0
(95.0)	42.2
(108.0)	47.0
(116.6)	49.6
(121.3)	50.0
(122.0)	46.8
(116.2)	44.4
(111.9)	43.8
(110.8)	41.1
(106.0)	39.0
(102.2)	31.5
(88.7)	50.0
(122.0)
Mean maximum °C (°F)	25.5
(77.9)	29.7
(85.5)	35.6
(96.1)	43.5
(110.3)	46.2
(115.2)	46.3
(115.3)	43.0
(109.4)	40.9
(105.6)	40.2
(104.4)	38.8
(101.8)	34.2
(93.6)	28.4
(83.1)	47.0
(116.6)
Mean daily maximum °C (°F)	20.5
(68.9)	23.8
(74.8)	29.7
(85.5)	37.0
(98.6)	42.6
(108.7)	42.0
(107.6)	38.4
(101.1)	37.8
(100.0)	37.1
(98.8)	34.9
(94.8)	29.5
(85.1)	23.4
(74.1)	32.9
(91.2)
Mean daily minimum °C (°F)	6.0
(42.8)	8.6
(47.5)	13.5
(56.3)	19.1
(66.4)	24.8
(76.6)	26.9
(80.4)	28.1
(82.6)	27.4
(81.3)	24.2
(75.6)	18.0
(64.4)	11.6
(52.9)	6.9
(44.4)	18.0
(64.4)
Mean minimum °C (°F)	1.8
(35.2)	3.8
(38.8)	8.4
(47.1)	12.7
(54.9)	19.2
(66.6)	21.6
(70.9)	23.8
(74.8)	24.2
(75.6)	20.1
(68.2)	13.3
(55.9)	7.0
(44.6)	3.0
(37.4)	1.4
(34.5)
Record low °C (°F)	−2.2
(28.0)	−2.8
(27.0)	0.6
(33.1)	6.9
(44.4)	11.7
(53.1)	13.8
(56.8)	14.5
(58.1)	16.2
(61.2)	14.0
(57.2)	1.9
(35.4)	1.7
(35.1)	−1.7
(28.9)	−2.8
(27.0)
Average rainfall mm (inches)	9.9
(0.39)	17.3
(0.68)	10.9
(0.43)	12.2
(0.48)	14.4
(0.57)	47.6
(1.87)	81.1
(3.19)	60.6
(2.39)	38.6
(1.52)	3.7
(0.15)	3.0
(0.12)	3.5
(0.14)	303.2
(11.94)
Average rainy days	1.0	1.5	1.2	1.2	1.5	2.8	4.0	2.8	2.1	0.3	0.3	0.4	19.0
Average relative humidity (%) (at 17:30 IST)	54	46	41	25	23	32	51	55	48	41	47	54	43
Source: India Meteorological Department[6][7][8]
